states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round_name,sample_year,report_year,test_type,test_threshold,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post
Karnataka,67.9,82.0,63.0,78.0,71.8,80.7,18,11,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Karnataka,75.0,88.0,88.0,90.0,74.0,84.0,18,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Karnataka,52.5,69.7,45.8,61.2,51.0,65.9,18,13,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Karnataka,47.4,64.8,41.8,56.1,44.2,56.3,18,14,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Karnataka,36.1,61.6,31.8,49.8,37.4,53.8,18,15,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Karnataka,26.2,48.1,20.8,39.5,24.8,44.1,18,16,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,13.0,25.0,15.2,30.0,17.0,35.0,18,4,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,20.0,51.1,24.7,58.5,45.1,70.3,18,5,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,53.7,90.5,51.1,79.0,61.3,88.2,18,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,76.6,81.1,64.0,92.0,78.3,97.1,18,7,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,82.3,92.0,76.6,87.2,88.1,95.9,18,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,67.0,82.7,57.4,79.6,60.4,79.6,18,11,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,51.5,83.4,54.6,83.1,61.5,86.7,18,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,59.0,83.8,41.0,68.9,59.9,84.0,18,13,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,38.9,62.2,31.8,55.5,45.9,62.9,18,14,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Kerala,44.4,75.6,34.5,64.0,48.0,73.5,18,15,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Madhya Pradesh,11.0,27.5,8.5,20.3,7.6,22.0,20,1,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Madhya Pradesh,15.2,31.7,10.2,23.2,11.8,30.1,20,2,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Madhya Pradesh,14.5,30.3,9.6,22.5,11.6,28.0,20,3,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Madhya Pradesh,21.5,14.9,15.6,37.5,28.3,33.5,20,4,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,61.3,92.5,43.1,82.8,35.5,77.0,22,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,71.1,93.0,57.4,89.0,60.0,65.0,22,7,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,60.5,89.4,67.9,93.3,67.2,93.9,22,8,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,46.3,67.0,28.9,51.9,38.9,60.7,22,9,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,66.1,75.8,46.2,59.0,54.2,67.1,22,10,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,44.9,66.9,32.8,57.6,41.4,60.8,22,11,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,40.2,57.5,27.2,44.9,36.4,50.9,22,12,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,44.1,59.0,29.8,49.0,38.4,59.5,22,13,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Maharashtra,30.6,43.9,20.2,33.6,24.1,37.9,22,14,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Manipur,21.6,50.4,13.5,36.8,16.7,46.4,29,1,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Manipur,13.5,62.7,8.8,60.9,12.4,61.8,29,2,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Mizoram,29.4,62.5,23.5,54.0,34.5,60.5,29,1,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Mizoram,45.1,70.1,39.6,67.2,38.3,63.6,29,2,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Odisha,23.8,58.8,14.7,44.9,17.1,50.8,28,1,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Odisha,26.4,47.9,16.5,35.4,22.4,44.7,28,2,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Odisha,34.1,51.3,17.8,33.8,27.7,40.0,28,3,2018,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Odisha,25.3,48.0,13.0,39.0,17.1,35.7,28,4,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Odisha,21.6,40.2,12.9,28.0,16.1,21.1,28,5,2019,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,42.1,52.6,26.3,36.8,,21.1,31,2,2012,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,45.7,63.0,15.2,43.5,56.5,65.2,31,3,2013,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,87.0,96.3,74.0,94.3,87.0,95.5,31,6,2014,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,95.1,96.0,60.4,86.0,93.0,95.1,31,7,2015,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,88.0,94.9,73.5,86.5,85.8,92.7,31,11,2016,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,95.8,98.1,85.7,89.8,94.7,95.5,31,12,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
Pondichery,58.7,75.5,49.8,60.8,69.0,78.4,31,13,2017,2019,SPCE,1.8 log10 @ 50% inhibition,,,,,,,,
