states_ut,region_code,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round_name,sample_year,report_year,test_type,test_threshold,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_count_post,serotype_a_count_pre,serotype_a_count_post,serotype_asia1_count_pre,serotype_asia1_count_post
Karnataka,,16.3,45.2,12.3,33.3,13.2,37.6,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2300,2303,375,1041,283,767,304,866
Kerala,,47.4,70.9,39.5,60.1,45.7,67.6,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2145,2145,1017,1521,847,1289,980,1450
Madhya Pradesh,,10.0,28.4,8.7,21.4,9.3,24.1,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,4589,4589,459,1303,399,982,427,1106
Maharashtra,,17.5,36.3,14.4,29.5,16.2,32.3,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,4346,4359,761,1582,626,1286,704,1408
Manipur,,9.7,45.8,7.1,40.8,7.2,36.8,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,807,807,78,370,57,329,58,297
Meghalaya,,14.0,41.6,7.0,34.5,16.9,32.4,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,586,586,82,244,41,202,99,190
Mizoram,,10.5,30.4,8.9,26.5,10.9,28.8,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,838,838,88,255,75,222,91,241
Nagaland,,13.2,6.0,6.2,12.9,4.3,9.5,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,726,419,96,25,45,54,31,40
Odisha,,12.7,36.0,8.8,20.5,7.3,17.8,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2262,2262,287,814,199,464,165,403
Pondichery,,84.1,89.3,78.6,80.3,84.8,89.2,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,960,960,807,857,755,771,814,856
Punjab,,11.5,22.7,18.9,16.7,18.1,23.6,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2198,886,253,201,415,148,398,209
Rajasthan,,44.9,57.1,44.6,54.0,38.6,52.9,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1188,1188,533,678,530,642,459,628
Sikkim,,2.7,22.2,3.9,14.9,2.8,16.6,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,999,743,27,165,39,111,28,123
Tamil Nadu,,37.0,70.3,27.5,60.8,27.8,61.8,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2246,2246,831,1579,618,1366,624,1388
Telangana,,20.7,52.4,14.5,49.1,20.5,55.0,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,2210,2210,457,1158,320,1085,453,1216
Uttar Pradesh,,9.9,28.7,7.5,18.2,8.6,22.1,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,7468,5975,739,1715,560,1087,642,1320
Uttarakhand,,4.2,24.3,3.8,17.5,3.0,23.1,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,1320,1291,55,314,50,226,40,298
Total,,17.6,39.0,14.4,31.6,15.8,34.0,,NADCP 1,2020/2021,2021,SPCE,1.8 log10 @ 50% inhibition,53922,49340,9490,19243,7765,15591,8520,16776
Andaman,,19.8,39.3,9.8,34.9,24.4,45.3,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,328,516,65,203,32,180,80,234
Himachal Pradesh,,2.8,9.4,3.4,7.3,1.0,3.8,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,879,1273,25,120,30,93,9,48
Jammu & Kashmir,,NaN,24.5,NaN,19.4,NaN,18.7,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,0,139,0,34,0,27,0,26
Kerala,,53.9,71.1,45.4,58.4,51.2,66.6,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,1485,1349,800,959,674,788,761,898
Meghalaya,,14.0,41.6,7.0,34.5,16.9,32.4,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,586,586,82,244,41,202,99,190
Nagaland,,13.2,6.0,6.2,12.9,4.3,9.5,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,726,419,96,25,45,54,31,40
Pondichery,,84.1,89.3,78.6,80.3,84.8,89.2,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,960,960,807,857,755,771,814,856
Punjab,,17.0,22.7,13.2,16.7,15.1,23.6,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,53,886,9,201,7,148,8,209
Rajasthan,,44.9,57.1,44.6,54.0,38.6,52.9,,NADCP 1,2021,2021,SPCE,1.8 log10 @ 50% inhibition,1188,1188,533,678,530,642,459,628
