states_ut,region_code,serotype_all_count_pre,serotype_all_count_post,serotype_o_count_pre,serotype_o_pct_pre,serotype_o_count_post,serotype_o_pct_post,serotype_a_count_pre,serotype_a_pct_pre,serotype_a_count_post,serotype_a_pct_post,serotype_asia1_count_pre,serotype_asia1_pct_pre,serotype_asia1_count_post,serotype_asia1_pct_post,sample_year,report_year,round_name,test_type,test_threshold
Telangana,TS,2275,2275,678,29.8,1456,64.0,514,22.6,1274,56.0,500,22.0,1301,57.2,2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Uttar Pradesh,UP,1554,2240,469,30.2,1223,54.6,376,24.2,1279,57.1,292,18.8,1015,45.3,2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Uttarakhand,UK,1358,1236,227,16.7,719,58.2,181,13.3,738,59.7,149,11.0,556,45.0,2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
West Bengal,WB,803,814,247,30.8,613,75.3,138,17.2,513,63.0,157,19.6,518,63.6,2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Total,,35346,33967,10801,30.6,22856,67.3,8893,25.2,21804,64.2,8797,24.9,21330,62.8,2022,2022,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
A&N Island,AN,364,,61,16.8,,,26,7.1,,,64,17.6,,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Andhra Pradesh,AP,2722,2716,536,19.7,1127,41.5,531,19.5,1263,46.5,623,22.9,1336,49.2,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Chandigarh,CH,200,200,71,35.5,151,75.5,64,32.0,136,68.0,80,40.0,158,79.0,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Delhi,,234,230,171,73.1,204,88.7,152,65.0,198,86.1,152,65.0,206,89.6,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Haryana,HR,2289,2285,833,36.4,1572,68.8,794,34.7,1552,67.9,989,43.2,1666,72.9,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Himachal Pradesh,HP,,324,,,232,71.6,,,212,65.4,,,236,72.8,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Jammu & Kashmir,JK,487,,187,38.4,,,127,26.1,,,85,17.5,,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Karnataka,KA,1196,1213,721,60.3,1069,88.1,670,56.0,1069,88.1,663,55.4,1047,86.3,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Maharashtra,MH,1079,611,152,14.1,415,67.9,203,18.8,417,68.2,178,16.5,399,65.3,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Uttar Pradesh,UP,879,,334,38.0,,,159,18.1,,,321,36.5,,,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
Total,,9450,7579,3071,32.5,4767,62.9,2722,28.8,4843,63.9,3156,33.4,5048,66.6,2021,2021,NADCP 2,SPCE,1.65 log10 @ 35% inhibition
